module	n	sigma_resid	omnibus_F	omnibus_df1	omnibus_df2	omnibus_p_F	omnibus_BH_q_F1	omnibus_F1_gate_pass	kruskal_H	kruskal_p	contrast	estimate	d	est_ci_lo	est_ci_hi	d_ci_lo	d_ci_hi	perm_p	BH_q_F2	b3_category	category_reason
M3_FOXA2	506	9.97761783002854	4.906525171632191	3	499	0.0022751537702914463	0.0029861393235075234	True	19.22836057629388	0.00024522621247300623	C2	-4.070520996642026	-0.4079652143411853	-6.670044055999832	-1.5281275037432673	-0.680172677419203	-0.15369061399877515	0.0014992503748125937	0.0054615549368173056	DESCRIPTIVE	|d|<0.5
M3_FOXA2	506	9.97761783002854	4.906525171632191	3	499	0.0022751537702914463	0.0029861393235075234	True	19.22836057629388	0.00024522621247300623	C3	-4.923135521728515	-0.4934179285672673	-7.9921650394622485	-1.8456146657601675	-0.807725062942735	-0.18890604153472676	0.0029985007496251873	0.008048607275309714	DESCRIPTIVE	|d|<0.5
M3_GATA2	506	7.866733242530207	6.238835755938883	3	499	0.00036503850232717853	0.0007665808548870749	True	44.169718713808834	1.3889550340774215e-09	C1	-0.48915692524014776	-0.062180438837763155	-2.1025565154216075	1.1868344363103993	-0.27322843049868917	0.1518989537964904	0.5237381309345327	0.6070601063104811	CAT5_CLEAN_NULL	H3 equivalence (C1) CI-in-SESOI
M3_GATA2	506	7.866733242530207	6.238835755938883	3	499	0.00036503850232717853	0.0007665808548870749	True	44.169718713808834	1.3889550340774215e-09	C2	-4.350546249801706	-0.553030859910336	-6.556624703869424	-2.250541973962796	-0.8553990734860628	-0.2865297115768852	0.0004997501249375312	0.001960558182447238	CAT2_DEPLETION	
M3_GATA2	506	7.866733242530207	6.238835755938883	3	499	0.00036503850232717853	0.0007665808548870749	True	44.169718713808834	1.3889550340774215e-09	C3	-2.0317836442761674	-0.2582753961061831	-4.910908881709685	0.84953053781649	-0.6379318564857654	0.11055573794271496	0.11544227886056972	0.18992116844803406	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
M3_GATA3	506	11.73502912862896	1.2694571667701544	3	499	0.28415281822451416	0.2983604591357399	False	20.42545894391901	0.00013854079909596243	C1	-1.2397264751743755	-0.10564323800014432	-3.7019966042919354	1.3177248960429115	-0.31834314208836506	0.11245186012021843			DESCRIPTIVE	omnibus F1 gate FAIL -> descriptive/exploratory
M3_GATA3	506	11.73502912862896	1.2694571667701544	3	499	0.28415281822451416	0.2983604591357399	False	20.42545894391901	0.00013854079909596243	C2	-2.113217629306728	-0.18007774894663783	-5.254083397094823	1.1564195054384572	-0.4585352889986321	0.10027993330630522			DESCRIPTIVE	omnibus F1 gate FAIL -> descriptive/exploratory
M3_GATA3	506	11.73502912862896	1.2694571667701544	3	499	0.28415281822451416	0.2983604591357399	False	20.42545894391901	0.00013854079909596243	C3	-2.033497397845032	-0.17328439286819322	-6.070967984288983	2.433885356622847	-0.5333853959912472	0.20979825958917903			DESCRIPTIVE	omnibus F1 gate FAIL -> descriptive/exploratory
M3_HOXA10	506	6.473309752102077	1.584683709163096	3	499	0.19215827262971966	0.21238545922232172	False	4.430857690158291	0.2185411627148631	C1	1.2446479749871835	0.192273817050545	-0.10723010533729015	2.5755562355193367	-0.016442109232014984	0.4044529358588825			DESCRIPTIVE	omnibus F1 gate FAIL -> descriptive/exploratory
M3_HOXA10	506	6.473309752102077	1.584683709163096	3	499	0.19215827262971966	0.21238545922232172	False	4.430857690158291	0.2185411627148631	C2	-0.46770789290419756	-0.07225173996228418	-2.0377745765973403	1.1925439197360017	-0.3179442574974349	0.18495250029625648			DESCRIPTIVE	omnibus F1 gate FAIL -> descriptive/exploratory
M3_HOXA10	506	6.473309752102077	1.584683709163096	3	499	0.19215827262971966	0.21238545922232172	False	4.430857690158291	0.2185411627148631	C3	-1.7547153649359863	-0.27106927246393203	-3.8058839474584203	0.4554043637067874	-0.599895895075926	0.07089118872960765			DESCRIPTIVE	omnibus F1 gate FAIL -> descriptive/exploratory
