cohort	base_specification	node	model	target	contrast	n	p_design	coefficient	se	t	residual_df	ci_lo	ci_hi	raw_p	direction	residual_sd	d	d_ci_lo	d_ci_hi	coefficient_boot_ci_lo	coefficient_boot_ci_hi	bootstrap_attempts	bootstrap_valid	diagnostic_permutations	permutation_p	interpretability
TCGA-UCEC	primary_cpe	endometrioid_grade_matched	base_refit	WT1	C2	380	7	-5.7217057358590981	1.3574666593316997	-4.2149880415302245	373	-8.3909525601827823	-3.0524589115354135	3.137192566050324e-05	negative	9.8744231561876497	-0.57944708722288074	-0.86685493968385485	-0.30744086913158425	-8.2761204694965809	-3.0433417842944954	2000	2000	2000	0.00049975012493753122	PASS
TCGA-UCEC	primary_cpe	endometrioid_grade_matched	base_plus_binary_grade	WT1	C2	380	8	-5.8294419622698417	1.3910536624473393	-4.1906664851547557	372	-8.5647563335557138	-3.0941275909839692	3.4781936367790615e-05	negative	9.8859341813162658	-0.58967031899596145	-0.87918960091139031	-0.310255604169139	-8.4662614877773539	-3.049059445204708	2000	2000	2000	0.00049975012493753122	PASS
TCGA-UCEC	primary_cpe	endometrioid_grade_matched	base_refit	PAX8	C2	380	7	-1.0288871982662242	0.65637805188046605	-1.5675222462398795	373	-2.3195524374406822	0.26177804090823376	0.11784059680264382	negative	4.7745958179869223	-0.21549199921597267	-0.51424412725601554	0.054318617734748414	-2.4086725989103224	0.25699169746453809	2000	2000	2000	0.082458770614692659	PASS
TCGA-UCEC	primary_cpe	endometrioid_grade_matched	base_plus_binary_grade	PAX8	C2	380	8	-0.88277769410196383	0.67179928428884739	-1.3140497686544186	372	-2.203777944877273	0.43822255667334531	0.1896391711720137	negative	4.774340262222875	-0.1849004565273597	-0.46054937711450511	0.096030865803321874	-2.1477713350510417	0.46049308918366677	2000	2000	2000	0.14242878560719641	PASS
TCGA-UCEC	primary_cpe	endometrioid_grade_matched	base_refit	LHX1	C2	380	7	-0.94719806780863169	0.40786640778681094	-2.322324294732617	373	-1.7492038528120251	-0.14519228280523822	0.02075310382787077	negative	2.9668835503215449	-0.31925690770909304	-0.59972615612145963	-0.067205942808438335	-1.7498856507134768	-0.20298618515729638	2000	2000	2000	0.010494752623688156	PASS
TCGA-UCEC	primary_cpe	endometrioid_grade_matched	base_plus_binary_grade	LHX1	C2	380	8	-0.84903563094004975	0.41735039068472701	-2.0343472772292777	372	-1.6696973726972077	-0.028373889182891743	0.042625473961514206	negative	2.9660239602812832	-0.28625380047824406	-0.5615093008635007	-0.02142121329886109	-1.6138526022961841	-0.063404349658964562	2000	2000	2000	0.018490754622688656	PASS
TCGA-UCEC	no_purity	full_base	base	GATA2	C2	507	6	-4.2479217497270456	1.0256044728022702	-4.1418713182094491	501	-6.2629374439110101	-2.2329060555430811	4.0428897954142371e-05	negative	7.8797391292254728	-0.53909421112327971	-0.82637380239869251	-0.27059432747921169	-6.36426312801464	-2.1176268625777817	2000	2000	2000	0.00049975012493753122	PASS
TCGA-UCEC	no_purity	full_base	base	SOX9	C2	507	6	-4.1230346607622836	1.0543530332689022	-3.9104877879274285	501	-6.1945329484427258	-2.0515363730818414	0.00010480050853617325	negative	8.1006148789176233	-0.50897798776889758	-0.76224256703066884	-0.25565130523828411	-6.0190491022280606	-2.0797174822750808	2000	2000	2000	0.00049975012493753122	PASS
TCGA-UCEC	no_purity	full_base	base	HOXA9	C2	507	6	-2.9628415599919777	0.62773062987366235	-4.719925106392024	501	-4.1961504080504799	-1.7295327119334758	3.0657931353986833e-06	negative	4.8228666488884109	-0.61433205097529753	-0.88951206159209528	-0.34502195040605649	-4.2043363944759369	-1.6783369332375351	2000	2000	2000	0.00049975012493753122	PASS
TCGA-UCEC	no_purity	full_base	base	WT1	C2	507	6	-5.9148364340534885	1.2868398921437318	-4.5964043158469625	501	-8.443104053135464	-3.3865688149715139	5.4477524561894246e-06	negative	9.8868159413031051	-0.59825493557978582	-0.87341170557775671	-0.34991376166405341	-8.465063542853505	-3.4985762989042164	2000	2000	2000	0.00049975012493753122	PASS
TCGA-UCEC	no_purity	full_base	base	PAX8	C2	507	6	-1.2369071385833348	0.62753943443557081	-1.9710428870431846	501	-2.4698403429910654	-0.0039739341756042101	0.049268936086828939	negative	4.8213976906156928	-0.25654534596696621	-0.51737563404020115	-0.0027121316160134967	-2.4432343604183173	-0.013008286560029985	2000	2000	2000	0.032983508245877063	PASS
TCGA-UCEC	no_purity	full_base	base	LHX1	C2	507	6	-0.8897939166782497	0.40502072866926464	-2.1969095744846316	501	-1.6855423229897895	-0.09404551036671005	0.02848411887683789	negative	3.1117821426056809	-0.28594351272071128	-0.51914956583014071	-0.057183674532466165	-1.5949223163381812	-0.1723876551519864	2000	2000	2000	0.011494252873563218	PASS
TCGA-UCEC	no_purity	histology_matched	base_refit	GATA2	C2	506	6	-4.2709855464588848	1.0253914349958084	-4.165224518845668	500	-6.2855924399642804	-2.2563786529534893	3.6641254827001314e-05	negative	7.8766691529122328	-0.54223244159998496	-0.83516824092792774	-0.26661376293205663	-6.4024628789526936	-2.0946052169632203	2000	2000	2000	0.00049975012493753122	PASS
TCGA-UCEC	no_purity	histology_matched	base_plus_binary_histology	GATA2	C2	506	7	-4.3043525936871116	1.0248039963241939	-4.2001715539031146	499	-6.317815125266895	-2.2908900621073287	3.1593738639920137e-05	negative	7.869911760675306	-0.54693784690131786	-0.8490699635594291	-0.27589229576229196	-6.4931806107926491	-2.1578357816043456	2000	2000	2000	0.00049975012493753122	PASS
TCGA-UCEC	no_purity	histology_matched	base_refit	SOX9	C2	506	6	-4.142328831479853	1.0546291096567748	-3.9277588619073476	500	-6.2143795643930666	-2.0702780985666398	9.7788718731459486e-05	negative	8.1012619106095496	-0.51131896205639138	-0.76159773895873006	-0.25136851709906799	-6.0374423302170008	-2.0345403379386706	2000	2000	2000	0.00049975012493753122	PASS
TCGA-UCEC	no_purity	histology_matched	base_plus_binary_histology	SOX9	C2	506	7	-4.156183300144396	1.0556670245420461	-3.937021052587458	499	-6.2302833303586755	-2.0820832699301164	9.4225494449120428e-05	negative	8.106922261817898	-0.51267092071663856	-0.76462584743642104	-0.26088645760979379	-6.1275929769779154	-2.1188510408032126	2000	2000	2000	0.00049975012493753122	PASS
TCGA-UCEC	no_purity	histology_matched	base_refit	HOXA9	C2	506	6	-2.9509299287278861	0.62785151912596959	-4.7000442602032209	500	-4.1844822633387011	-1.7173775941170712	3.3676099500308104e-06	negative	4.8229178872835279	-0.61185572669784249	-0.87396033196512823	-0.35025758859064993	-4.1017524886333705	-1.7048901575818838	2000	2000	2000	0.00049975012493753122	PASS
TCGA-UCEC	no_purity	histology_matched	base_plus_binary_histology	HOXA9	C2	506	7	-2.977408963544486	0.62669684698405925	-4.7509557098828354	499	-4.2086986780533815	-1.7461192490355906	2.6509418839449308e-06	negative	4.8126753058618448	-0.61865984599418078	-0.89662934175282716	-0.35037752181868603	-4.2127614676965184	-1.7007646277079254	2000	2000	2000	0.00049975012493753122	PASS
TCGA-UCEC	no_purity	histology_matched	base_refit	WT1	C2	506	6	-5.9467855417509323	1.2861808993981141	-4.6235996386929799	500	-8.4737706693700279	-3.4198004141318368	4.8076196237023844e-06	negative	9.8799551757475417	-0.6019041013818146	-0.86530748556788462	-0.33686159807910387	-8.3327258897482146	-3.3544186528423854	2000	2000	2000	0.00049975012493753122	PASS
TCGA-UCEC	no_purity	histology_matched	base_plus_binary_histology	WT1	C2	506	7	-5.941940637826689	1.2878042396835776	-4.6140092218415623	499	-8.4721274773715685	-3.41175379828181	5.0278229330630366e-06	negative	9.8896040293417808	-0.60082695123054031	-0.87373747221313469	-0.34254379383751549	-8.4117321018161757	-3.3882985357160549	2000	2000	2000	0.00049975012493753122	PASS
