config	module	contrast	n	sigma_resid	omnibus_F	omnibus_p_F	omnibus_BH_q_F1	F1_gate_pass	estimate	d	est_ci_lo	est_ci_hi	d_ci_lo	d_ci_hi	perm_p	BH_q_F2	b3_category	category_reason
PRIMARY	M3_WT1	C2	506	9.9013613711309763	7.4656786893133438	6.7429596119386175e-05	0.00020228878835815852	True	-5.8512302295264291	-0.59095209337441612	-8.4526135968948708	-3.4769771272802501	-0.87809638508781762	-0.34903964823632033	0.00049975012493753122	0.0019605581824472381	CAT2_DEPLETION	
PRIMARY	M3_WT1	C3	506	9.9013613711309763	7.4656786893133438	6.7429596119386175e-05	0.00020228878835815852	True	-1.6743109098277529	-0.16909906093413354	-5.0051885484738561	1.77716656421348	-0.50882286889166284	0.18066444800783904	0.31034482758620691	0.41651542649727769	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
SENS_nopurity	M1	C1	507	0.12778979871598437	9.9878868533253868	2.1021801123382933e-06	1.1036445589776041e-05	True	0.053701211620957867	0.42023081780033156	0.026690184457571521	0.082560597270877292	0.20944155220201102	0.64350585305479846	0.00049975012493753122	0.0018205183122724353	DESCRIPTIVE	|d|<0.5
SENS_nopurity	M1	C2	507	0.12778979871598437	9.9878868533253868	2.1021801123382933e-06	1.1036445589776041e-05	True	-0.039318132199938294	-0.30767817615335402	-0.071575739904288074	-0.0044131178341590771	-0.58881699734995563	-0.035058910789077552	0.0074962518740629685	0.016622123720748321	DESCRIPTIVE	|d|<0.5
SENS_nopurity	M1	C3	507	0.12778979871598437	9.9878868533253868	2.1021801123382933e-06	1.1036445589776041e-05	True	0.022813010165342096	0.17851980670260317	-0.016691366711414447	0.064064965493661072	-0.13171963633283723	0.49914855221715299	0.2913543228385807	0.40159649904777339	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
SENS_nopurity	M3_DLX5	C1	507	6.458979702556249	5.0210279656053745	0.0019440794503352153	0.0027217112304693011	True	-1.8064410635607344	-0.279679012282049	-3.1852957903258932	-0.55817169248803911	-0.50195831840902383	-0.08672453406842584	0.0069965017491254375	0.016622123720748321	DESCRIPTIVE	|d|<0.5
SENS_nopurity	M3_DLX5	C2	507	6.458979702556249	5.0210279656053745	0.0019440794503352153	0.0027217112304693011	True	-2.2209440536209559	-0.34385369762688373	-3.9458638632159682	-0.48093421346928078	-0.61754918009532644	-0.074219856306488793	0.0049975012493753126	0.014159586873230053	DESCRIPTIVE	|d|<0.5
SENS_nopurity	M3_DLX5	C3	507	6.458979702556249	5.0210279656053745	0.0019440794503352153	0.0027217112304693011	True	-0.77890708522591012	-0.12059289873873495	-3.1195250429199208	1.5222470098717356	-0.48866931115165763	0.23743098016984354	0.45877061469265368	0.53175684884830321	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
SENS_nopurity	M3_EMX2	C1	507	3.0353427015997809	2.1150803732917818	0.097392850973486378	0.11362499280240078	False	0.16501156460377037	0.054363405000957828	-0.45692237004835151	0.80859535889636336	-0.15007503238807532	0.26974204184555889			DESCRIPTIVE	omnibus F1 gate FAIL -> descriptive/exploratory
SENS_nopurity	M3_EMX2	C2	507	3.0353427015997809	2.1150803732917818	0.097392850973486378	0.11362499280240078	False	0.94690417931902093	0.31195956187087343	0.15641112527694612	1.7582526786069557	0.050020897175982224	0.59387040833804627			DESCRIPTIVE	omnibus F1 gate FAIL -> descriptive/exploratory
SENS_nopurity	M3_EMX2	C3	507	3.0353427015997809	2.1150803732917818	0.097392850973486378	0.11362499280240078	False	0.55997155858046277	0.18448380088526053	-0.40589931097352061	1.5102755902838687	-0.1356490470131671	0.50405054810604466			DESCRIPTIVE	omnibus F1 gate FAIL -> descriptive/exploratory
SENS_nopurity	M3_FOXA2	C1	507	9.9787149833305246	4.9573287202928169	0.0021214142755657463	0.0027843562366800419	True	-0.50442935424706103	-0.050550532317007943	-2.5643627831196176	1.6240559910659467	-0.26209220389658	0.16523897739688415	0.62418790604697649	0.69923733785281272	CAT5_CLEAN_NULL	H3 equivalence (C1) CI-in-SESOI
SENS_nopurity	M3_FOXA2	C2	507	9.9787149833305246	4.9573287202928169	0.0021214142755657463	0.0027843562366800419	True	-4.1908060066462429	-0.41997451712439904	-6.7864629407403187	-1.6253597936174096	-0.69550087242689695	-0.15991695942703807	0.00049975012493753122	0.0018205183122724353	DESCRIPTIVE	|d|<0.5
