module	gene	membership	status	reason	composition_signature	source
M1	REC8	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	RGL3	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	RNASE1	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	RNF144B	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	RNF180	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	RNPC3	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	RRAS2	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	SAMHD1	source	EXCLUDED_analysis_ready	composition-overlap ESTIMATE (immune)	immune	SI_geneset
M1	SCARA3	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	SCGB2A1	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	SCML1	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	SCX	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	SEMA3B	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	SEMA3E	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	SERINC5	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	SERPINE2	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	SFT2D2	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	SH3RF1	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
